id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
PRJ_0248,первая часть оплаты,,,,,,,,,"47 925,00","33 250,00","33 725,00",,,,,,Manager 01
PRJ_0249,,,,,,,,,,"50 285,00","39 180,00","33 200,00",,,,,,Manager 01
PRJ_0131,первая часть оплаты,"27 950,00","30 225,00","30 225,00","30 225,00","30 225,00","30 225,00","30 225,00","30 225,00","30 225,00","34 875,00","53 625,00","53 625,00","53 625,00","53 625,00","53 625,00","53 625,00",Manager 06
PRJ_0131,вторая часть оплаты,"24 401,00","84 490,25","79 787,50","68 172,00","70 716,75","67 463,00","76 278,00","79 066,00","81 477,50","73 912,50","70 875,00","70 875,00","70 875,00","70 875,00","70 875,00","70 875,00",Manager 06
PRJ_0212,первая часть оплаты,,,,,"101 230,00","101 230,00","101 230,00","101 230,00","101 230,00","101 230,00","101 230,00","107 821,20","106 491,20","106 491,20","106 491,20","106 491,20",Manager 06
PRJ_0212,вторая часть оплаты,,,,,"9 150,00","9 150,00","9 150,00","9 150,00","9 150,00","9 150,00","9 150,00",,,,,,Manager 06
PRJ_0275,,,,,,,,,"49 035,00","49 940,00",стоп,,,,,,,Manager 07
PRJ_0274,первая часть оплаты,,,,,,,,,"19 678,25","15 678,25","15 678,25",,,,,,Manager 08
PRJ_0274,вторая часть оплаты,,,,,,,,,"915,00","610,00",в ноль,,,,,,Manager 08
PRJ_0045,первая часть оплаты,"148 390,00","148 390,00","139 440,00","119 390,00","117 890,00","117 890,00","117 890,00","117 890,00","117 890,00","117 890,00","117 890,00","134 690,00","134 690,00","134 690,00",стоп,,Manager 06
PRJ_0045,вторая часть оплаты,"6 525,00","18 765,00","16 110,00","9 270,00","3 525,00","18 600,00","35 200,00","14 075,00","8 940,00","15 460,00","16 095,00","13 350,00","8 800,00","27 585,00",стоп,,Manager 06
PRJ_0267,,,,,,,,,,,"100 955,00","70 025,00",,,,,,Manager 07
PRJ_0244,основные работы,,,,,,,,"17 600,00","39 495,00","39 495,00","39 495,00","36 515,00","36 515,00","44 570,00","37 570,00","37 570,00",Manager 06
PRJ_0244,доп работы,,,,,,,,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,Manager 06
PRJ_0301,,,,,,,,,,,,"40 225,00",,,,,,Manager 06
PRJ_0192,,,,,,"44 100,00","58 240,00",в ноль,"7 280,00","28 000,00","8 400,00","15 120,00",,,,,,Manager 01
PRJ_0180,основные работы,,,,"107 124,00","102 032,00","102 032,00","104 768,00","104 768,00","104 768,00","108 416,00","108 416,00","114 800,00","114 800,00","121 184,00","121 184,00","75 856,00",Manager 07
PRJ_0180,доп работы,,,,,,,,,,,"10 000,00",,,,,,Manager 07
PRJ_0238,,,,,,,,"57 601,20","67 012,80","78 108,00","115 101,20",стоп,,,,,,Manager 07
PRJ_0297,,,,,,,,,,,,"35 000,00",,,,,,Manager 08
PRJ_0239,,,,,,,,,"53 398,40","21 675,00","36 883,54","39 561,45",,,,,,Manager 07
PRJ_0246,,,,,,,,,"307 800,00","205 190,00","153 884,10","142 458,97",,,,,,Manager 08
PRJ_0290,основные работы,,,,,,,,,,"64 400,00","64 400,00","64 400,00","64 400,00","64 400,00",стоп,,Manager 06
PRJ_0290,доп работы,,,,,,,,,,в ноль,в ноль,в ноль,в ноль,в ноль,стоп,,Manager 06
PRJ_0218,основные работы,,,,,,"51 030,00","51 000,00","48 600,00","48 600,00","13 550,00",стоп,,,,,,Manager 02
PRJ_0218,доп работы,,,,,,в ноль,в ноль,"8 055,00","3 580,00","1 790,00",стоп,,,,,,Manager 02
PRJ_0186,изменение ЮЛ,,,"207 030,00","219 805,00",,,,,,,"316 620,75",,,,,,Manager 04
PRJ_0283,,,,,,,,,,,"18 635,00","20 440,00",,,,,,Manager 04
PRJ_0013,,,,"100 166,40","96 881,10","101 759,70","97 543,80","101 007,70",,"79 021,10","79 021,10","79 021,10",стоп,,,,,Manager 07
PRJ_0060,,,,"49 765,00","50 660,00","49 605,00","50 660,00","49 605,00",,"45 860,00","46 660,00","44 550,00",стоп,,,,,Manager 07
PRJ_0299,,,,,,,,,,,,,,,,,,Manager 01
PRJ_0222,первая часть оплаты,,,,,"80 200,00","80 200,00","80 675,00","80 675,00","80 675,00","80 675,00","80 675,00","80 675,00","87 880,00","87 880,00","88 100,00","88 100,00",Manager 03
PRJ_0222,вторая часть оплаты,,,,,"7 718,97","7 119,00","12 255,00","9 711,49","7 536,79",в ноль,"2 165,10","4 851,47",в ноль,"13 943,39","5 287,23","9 201,06",Manager 03
PRJ_0213,первая часть оплаты,,,,,,,"50 085,00","38 013,75","49 263,75","38 227,50","38 013,75","49 263,75",,"43 770,00","43 770,00","43 770,00",Manager 01
PRJ_0213,вторая часть оплаты,,,,,,,"50 085,00","38 013,75","49 263,75","38 227,50","38 013,75","49 263,75",,"43 770,00","43 770,00","43 770,00",Manager 01
PRJ_0285,,,,,,,,,,,,,"190 000,00",,,,,Manager 08
PRJ_0179,,,,"33 685,00","33 685,00","33 685,00","33 685,00","33 685,00","33 685,00",,"52 315,00","52 315,00","23 540,00",,,,,Manager 07
PRJ_0281,,,,,,,,,,,"28 145,00","25 270,00","17 775,00",,,,,Manager 07
PRJ_0150,,"47 480,00","57 950,00","65 780,00","61 310,00","65 700,00","64 660,00","61 230,00","65 270,00","63 690,00","65 680,00","65 620,00","65 700,00","69 190,00","70 230,00","71 710,00","135 860,00",Manager 08
PRJ_0232,первая часть оплаты,,,,,,,"125 475,00","53 580,00","102 450,00",стоп,,,,,,,Manager 01
PRJ_0232,вторая часть оплаты,,,,,,,,в ноль,в ноль,стоп,,,,,,,Manager 01
PRJ_0302,первая часть оплаты,,,,,,,,,,,,стоп,,,,,Manager 01
PRJ_0288,первая часть оплаты,,,,,,,,,,,"47 800,00",стоп,,,,"46 000,00",Manager 07
PRJ_0288,вторая часть оплаты,,,,,,,,,,,в ноль,стоп,,,,в ноль,Manager 07
PRJ_0279,первая часть оплаты,,,,,,,,,,"68 850,00",,"68 650,00",,,,,Manager 01
PRJ_0279,вторая часть оплаты,,,,,,,,,,"13 370,00",,"13 370,00",,,,,Manager 01
PRJ_0306,,,,,,,,,в ноль,,,,"125 000,00","50 640,00",,,,Manager 04
PRJ_0195,основные работы,,,,,"31 850,00","57 975,00","22 175,00","22 175,00","23 010,00","23 010,00","23 010,00","23 010,00","58 810,00",,,,Manager 03
PRJ_0195,доп работы,,,,,"15 926,70","10 226,00","7 578,94","11 625,38","9 084,47","7 284,26","9 650,43","8 803,62","11 086,06",,,,Manager 03
PRJ_0008,первая часть оплаты,,,,"39 726,00","39 726,00","39 726,00",,,,,"39 726,00","39 726,00","39 726,00",,"45 175,50","44 635,50",Manager 07
PRJ_0017,первая часть оплаты,"52 158,00","66 122,00","34 850,00",,"67 774,08","36 046,00","54 832,00","47 165,28","71 542,00","51 910,74","60 269,00","58 485,96","59 885,85","65 222,34","60 505,74","66 694,89",Manager 03
PRJ_0266,первая часть оплаты,,,,,,,,,"69 800,00","70 000,00",,"65 425,00",,,,,Manager 07
PRJ_0266,вторая часть оплаты,,,,,,,,,,,,в ноль,,,,,Manager 07
PRJ_0142,,"54 455,00","51 995,00","54 735,00","80 085,00","79 045,00","81 310,00",стоп,"51 395,00","51 395,00","51 395,00","51 395,00","19 425,00",стоп,,,"64 300,00",Manager 07
PRJ_0284,,,,,,,,,,,"22 620,00","22 020,00","19 865,00","19 865,00",,,,Manager 07
PRJ_0154,первая часть оплаты,,"40 690,00","40 030,00","40 920,00","34 840,00","34 990,00","41 070,00","43 980,00","43 980,00","44 870,00","43 980,00","43 980,00","44 870,00","40 970,00","40 970,00","40 970,00",Manager 07
PRJ_0154,вторая часть оплаты,,,,,,"5 190,00",,,,,,,,,,,Manager 07
PRJ_0278,,,,,,,,,,,"130 750,00","128 150,00","128 850,00","51 850,00",,,,Manager 07
PRJ_0209,основные работы,,,,,"51 525,00","49 700,00","49 700,00","56 435,00","56 435,00","56 435,00","59 075,00","59 075,00","59 075,00","56 750,00","56 750,00",стоп,Manager 06
PRJ_0209,доп работы,,,,,"10 100,00","7 425,00","7 425,00","7 900,00","7 900,00","7 900,00","8 850,00","8 610,00","8 780,00","11 100,00","11 100,00",стоп,Manager 06
PRJ_0258,,,,,,,,,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,,,,Manager 06
PRJ_0197,первая часть оплаты,,,,"93 250,00","93 250,00","93 250,00","93 250,00","93 250,00","115 900,00","115 900,00","115 900,00","142 000,00","142 000,00","142 000,00","142 000,00","142 000,00",Manager 08
PRJ_0197,вторая часть оплаты,,,,"28 495,00","17 645,00","26 285,00","21 280,00","18 540,00",,,,,,,,,Manager 08
PRJ_0197,доп работы,,,,,,,,,,,,"43 000,00","43 000,00","50 000,00","50 000,00","50 000,00",Manager 08
PRJ_0198,доп работы,,,,,,"45 000,00",,,,,,,,,,,Manager 08
PRJ_0198,первая часть оплаты,,,,"37 000,00","37 000,00","37 000,00","37 000,00","37 000,00","37 000,00","37 000,00","37 000,00","89 400,00","89 400,00","89 400,00","89 400,00","89 400,00",Manager 08
PRJ_0198,вторая часть оплаты,,,,"35 830,00","30 495,00","21 280,00","23 220,00","39 710,00","35 345,00","54 255,00","75 215,00","23 600,00","40 400,00","38 000,00","27 200,00","14 000,00",Manager 08
PRJ_0254,первая часть оплаты,,,,,,,,"18 650,00",,"170 425,00","114 800,00","167 400,00","202 150,00","202 150,00","202 150,00","149 500,00",Manager 08
PRJ_0254,вторая часть оплаты,,,,,,,,,,"1 890,00","39 690,00","42 210,00","74 025,00","71 820,00","65 835,00","46 620,00",Manager 08
PRJ_0309,первая часть оплаты,,,,,,,,,,,,,"45 205,00",,"41 050,00","46 120,00",Manager 06
PRJ_0309,вторая часть оплаты,,,,,,,,,,,,,,,в ноль,"425,00",Manager 06
PRJ_0282,первая часть оплаты,,,,,,,,,,"55 300,00","53 400,00","52 400,00","53 800,00",,,,Manager 07
PRJ_0282,вторая часть оплаты,,,,,,,,,,,,"1 900,00","1 000,00",,,,Manager 07
PRJ_0046,основные работы,"42 600,00","7 450,00",,,,,,,"120 190,00","9 460,00","14 190,00","124 920,00",стоп,,,,Manager 01
PRJ_0046,доп работы,,,,,,,,,,,"5 000,00",,,,,,Manager 01
PRJ_0031,,"324 600,00","324 600,00","324 600,00","324 600,00","324 600,00","324 600,00","328 020,00","328 020,00","328 020,00","328 020,00","328 020,00","328 020,00",стоп,,,,Manager 01
PRJ_0083,,"85 120,00","85 120,00","85 120,00","85 120,00","85 120,00","85 120,00","69 940,00","69 940,00","69 940,00","69 940,00","69 940,00","69 940,00",стоп,,,,Manager 01
PRJ_0252,,,,,,,,,"406 720,00","106 543,34","26 020,00","26 020,00","26 020,00",стоп,,,,Manager 01
PRJ_0240,,,,,,,,,"82 000,00","94 870,00","87 940,00","105 550,00","94 450,00","103 070,00",,,,Manager 08
PRJ_0308,,,,,,,,,,,,,,,,,,Manager 08
PRJ_0293,,,,,,,,,,,,"135 000,00","135 000,00","135 000,00","35 000,00",в ноль,в ноль,Manager 08
PRJ_0245,,,,,,,,,"99 855,00","97 775,00","97 775,00","98 830,00",стоп,,,,,Manager 06
PRJ_0262,основные работы,,,,,,,,,"50 350,00","50 200,00",стоп,,,,,,Manager 07
PRJ_0262,доп работы,,,,,,,,,"17 475,00","17 475,00",стоп,,,,,,Manager 07
PRJ_0034,основные работы,"106 800,00","106 800,00","106 800,00","106 800,00","133 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00","131 405,00",Manager 08
PRJ_0261,,,,,,,,,,,"103 460,00","89 060,00","89 060,00","44 100,00",,,,Manager 01
PRJ_0314,первая часть оплаты,,,,,,,,,,,,,"103 700,00","15 000,00",,,Manager 07
PRJ_0314,вторая часть оплаты,,,,,,,,,,,,,"60 000,00",,,,Manager 07
PRJ_0305,,,,,,,,,,,,,"78 600,00","68 600,00","68 600,00","68 600,00","71 900,00",Manager 03
PRJ_0113,первая часть оплаты,,,"41 500,00",,,,,,,,,,,,,,Manager 07
PRJ_0113,вторая часть оплаты,"54 640,00","54 165,00","8 140,00","47 085,00","47 040,00","42 185,00","43 510,00","37 325,00","32 930,00","35 855,00","39 405,00","32 375,00","28 175,00",,,,Manager 07
PRJ_0269,первая часть оплаты,,,,,,,,,,"52 778,00","78 987,00","78 987,00",стоп,,,,Manager 08
PRJ_0269,вторая часть оплаты,,,,,,,,,,"79 167,00","52 658,00","52 658,00",стоп,,,,Manager 08
PRJ_0269,доп работы,,,,,,,,,,в ноль,в ноль,в ноль,стоп,,,,Manager 08
PRJ_0304,первая часть оплаты,,,,,,,,,,,,"48 360,00",стоп,,,,Manager 08
PRJ_0304,вторая часть оплаты,,,,,,,,,,,,"32 240,00",стоп,,,,Manager 08
PRJ_0313,,,,,,,,,,,,,,"98 492,00","109 442,52",,,Manager 05
PRJ_0026,первая часть оплаты,,,"27 735,00","40 770,00","38 870,00","38 980,00","6 800,00","6 800,00","6 800,00","6 800,00","42 450,00","40 770,00",стоп,,,,Manager 03
PRJ_0026,вторая часть оплаты,"25 050,00","68 120,00","23 735,00","5 700,00","14 750,00","14 750,00","2 135,00","2 135,00","2 135,00","2 135,00","8 040,00","7 125,00",стоп,,,,Manager 03
PRJ_0072,первая часть оплаты,,,,,,,"121 500,00","112 000,00","112 000,00","112 000,00","121 500,00","121 500,00",стоп,,,,Manager 03
PRJ_0072,вторая часть оплаты,"218 465,00","187 125,00","88 975,00",,,,"53 700,00","44 750,00","44 750,00",в ноль,"53 700,00","44 750,00",стоп,,,,Manager 03
PRJ_0255,,,,,,,,,"32 075,00","63 190,00","64 940,00",,,"64 620,00",,,,Manager 01
PRJ_0295,,,,,,,,,,,,"61 000,00","61 000,00","61 000,00","55 000,00",,,Manager 01
PRJ_0231,,,,,,,,"65 980,00","70 400,00","71 410,00",,,,"71 410,00","40 825,00","40 825,00","40 825,00",Manager 07
PRJ_0310,,,,,,,,,,,,,,"290 000,00",,,,Manager 03
PRJ_0054,первая часть оплаты,"64 755,50","64 755,50","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","64 743,00","75 540,00","108 035,00",Manager 03
PRJ_0054,вторая часть оплаты,"76 533,50","72 807,00","19 158,00","70 540,00","72 844,00","69 870,00","75 012,00","76 020,00","87 496,85","83 707,50","90 966,00","89 246,65","92 657,10","91 132,95","12 203,00","26 386,50",Manager 03
PRJ_0085,основные работы,,,"36 415,00","36 415,00","36 415,00","36 415,00","36 415,00","36 415,00","34 225,00","34 225,00","34 225,00","34 225,00","34 225,00","34 225,00","40 200,00","40 200,00",Manager 03
PRJ_0085,доп работы,,,,,,,,,"11 210,00","17 540,00","12 875,00","10 765,00","14 985,00","12 875,00","16 700,00","19 500,00",Manager 03
PRJ_0101,первая часть оплаты,"194 850,00","190 675,00","184 016,00","184 016,00","184 016,00","184 016,00","184 016,00","184 016,00","173 934,00","173 619,00","173 934,00","173 619,00","173 934,00","173 619,00","193 215,00","203 878,00",Manager 01
PRJ_0101,вторая часть оплаты,"19 185,96","19 340,21","17 928,09","17 928,09","18 235,53","17 241,91","16 633,40","15 539,79","15 391,91","15 768,51","14 903,62","15 611,06","15 572,77","14 001,00","17 343,46","15 975,34",Manager 01
PRJ_0291,,,,,,,,,,,"88 838,00","100 891,00","106 346,00","70 709,00","107 411,00",,,Manager 01
PRJ_0151,первая часть оплаты,"343 745,00","501 895,00","660 475,00","743 015,00","780 365,00","676 860,00","142 615,00","161 050,00","141 875,00","141 875,00","187 385,00","355 915,00","356 355,00","357 250,00",,,Manager 01
PRJ_0151,вторая часть оплаты,,,,"9 500,00","14 725,00","7 125,00","2 850,00","2 850,00","2 850,00","2 850,00","3 800,00",,,,,,Manager 01
PRJ_0230,,,,,,,,"84 015,00","78 015,00","78 015,00","80 505,00","80 505,00","78 660,00","80 505,00","76 170,00","106 433,00","106 433,00",Manager 01
PRJ_0296,первая часть оплаты,,,,,,,,,,,"91 450,00","83 850,00","84 850,00","50 250,00",,,Manager 09
PRJ_0298,,,,,,,,,,,,"40 400,00","40 600,00","43 400,00","46 700,00",,,Manager 07
PRJ_0004,первая часть оплаты,"137 700,00","137 700,00","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50","149 206,50",,,Manager 06
PRJ_0169,первая часть оплаты,,"126 530,00","117 455,00","117 455,00","117 455,00","117 455,00","117 455,00","117 455,00","117 455,00","140 535,00","117 455,00","117 455,00",,"130 750,00","147 680,00","147 680,00",Manager 06
PRJ_0169,вторая часть оплаты,,,,,,,,,,,,,,,,"3 500,00",Manager 06
PRJ_0181,первая часть оплаты,,,"45 570,00","42 570,00","42 570,00","44 680,00","44 680,00","44 680,00","44 680,00","44 680,00","46 790,00","46 790,00","46 790,00","46 790,00","62 500,00","62 500,00",Manager 06
PRJ_0181,вторая часть оплаты,,,"1 055,00","6 620,00","6 860,00","2 400,00","17 745,00","14 770,00","15 825,00","15 060,00",в ноль,"18 990,00","13 460,00","15 570,00","13 300,00","13 300,00",Manager 06
PRJ_0006,первая часть оплаты,,,"22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00","22 200,00",,,Manager 06
PRJ_0006,вторая часть оплаты,"35 150,00","47 400,00","26 930,00","42 275,00","49 440,00","36 795,00","39 900,00","39 435,00","48 555,00","13 925,00","62 890,00","74 480,00","66 200,00","55 330,00",,,Manager 06
PRJ_0007,,"37 939,50","37 939,50","39 838,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50","39 298,50",,,Manager 07
PRJ_0009,,"85 842,00","85 842,00","83 358,00","83 358,00","83 358,00","83 358,00","83 358,00","83 358,00","84 582,00","84 582,00","84 582,00","84 582,00","84 582,00","84 582,00",,,Manager 07
PRJ_0010,,,,,,"41 067,00","38 461,50","32 139,00","31 333,50","32 139,00","32 139,00","49 666,50","50 094,00","50 949,00","50 949,00",,,Manager 07
PRJ_0300,первая часть оплаты,,,,,,,,,,,,,,"75 700,00","65 800,00","67 000,00",Manager 07
PRJ_0303,первая часть оплаты,,,,,,,,,,,,"46 990,00","45 520,00","50 260,00","59 773,50","61 006,50",Manager 07
PRJ_0303,вторая часть оплаты,,,,,,,,,,,,"2 322,34","3 141,49","4 568,00",,,Manager 07
PRJ_0277,,,,,,,,,,,"115 260,00","132 520,00","135 230,00","141 750,00","156 040,00","120 025,00","43 922,50",Manager 07
PRJ_0187,,,,"35 000,00","35 000,00","35 000,00","35 000,00","35 000,00","35 000,00","50 000,00","50 000,00","50 000,00","50 000,00","50 000,00","25 000,00",,,Manager 08
PRJ_0018,первая часть оплаты,"94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00","94 000,00",,,Manager 01
PRJ_0174,первая часть оплаты,,,"125 530,00","119 800,00","109 925,00","114 885,00","185 665,00","269 360,00","268 895,00","171 865,00","173 765,00","197 110,00","194 260,00","194 735,00",,"149 500,00",Manager 01
PRJ_0174,вторая часть оплаты,,,"5 700,00","9 500,00","9 500,00","14 250,00","37 430,00","36 725,00","53 825,00","28 175,00","28 175,00","32 925,00","32 925,00","32 925,00",,"7 050,00",Manager 01
PRJ_0019,,"202 450,00","194 050,00","125 000,00","222 000,00","240 800,00","90 090,00","117 090,00","117 090,00","155 090,00","162 650,00","162 650,00","132 410,00","132 410,00","132 410,00",,"136 730,00",Manager 04
PRJ_0125,основные работы,,,,,"152 931,00","147 231,00","147 231,00","147 231,00","147 231,00","147 231,00","147 231,00","147 231,00","120 916,00","118 313,00",,,Manager 07
PRJ_0125,доп работы,,,,,"16 200,00","7 700,00","7 200,00","7 000,00","7 000,00","5 000,00",в ноль,"20 300,00","43 000,00","38 300,00",,,Manager 07
PRJ_0171,первая часть оплаты,,,,"79 800,00","82 400,00","44 550,00","36 100,00","36 100,00","44 550,00","36 100,00","36 100,00","54 600,00","54 600,00","54 600,00","54 600,00",,Manager 03
PRJ_0171,вторая часть оплаты,,,,"11 864,42","10 354,55",в ноль,"19 277,30","4 688,00","2 311,00","13 415,32","7 851,06","2 910,64","8 984,00","7 735,11","17 707,00",,Manager 03
PRJ_0201,основные работы,,,,,,"126 747,25","114 327,25","112 947,25","113 493,50","113 493,50","113 493,50","82 420,50","82 420,50","82 420,50",,,Manager 06
PRJ_0201,доп работы,,,,,,"14 268,89","21 395,59","21 560,00","62 135,82","44 629,96","41 079,32","14 549,10","12 232,07","10 801,22",,,Manager 06
PRJ_0289,первая часть оплаты,,,,,,,,,,,"122 200,00",стоп,,,,,Manager 07
PRJ_0289,вторая часть оплаты,,,,,,,,,,,в ноль,стоп,,,,,Manager 07
PRJ_0253,первая часть оплаты,,,,,,,,,"94 500,00","94 500,00","94 500,00","94 500,00","94 500,00","94 500,00",,,Manager 06
PRJ_0253,вторая часть оплаты,,,,,,,,,в ноль,в ноль,в ноль,"101 400,00",в ноль,в ноль,,,Manager 06
PRJ_0250,первая часть оплаты,,,,,,,,,"66 375,00","66 950,00","66 475,00","66 950,00","66 475,00","66 950,00",,"136 450,00",Manager 07
PRJ_0250,доп работы,,,,,,,,,,,"50 950,00","50 950,00","50 950,00","57 950,00",,,Manager 07
PRJ_0210,основные работы,,,,,,,,,,,,"285 830,00","281 395,00","282 170,00","97 525,00","103 945,00",Manager 06
PRJ_0210,доп работы,,,,,,,,,,,,в ноль,"36 851,67","12 537,60",в ноль,"5 511,70",Manager 06
PRJ_0020,основные работы,"57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","57 545,00","75 100,00","75 100,00","75 100,00","75 200,00","75 200,00",Manager 08
PRJ_0020,доп работы,,,,,"10 000,00",в ноль,в ноль,"22 000,00",в ноль,"3 000,00",в ноль,"5 000,00",в ноль,"15 200,00",в ноль,"7 500,00",Manager 08
PRJ_0020,доп работы,,,,,,,,,,"10 000,00",,,,,,,Manager 08
PRJ_0176,основные работы,,,"132 100,00","135 900,00","191 050,00","172 250,00","131 655,00","91 800,00","105 100,00","152 950,00","162 950,00","155 600,00","154 800,00","144 950,00","106 450,00","173 550,00",Manager 01
PRJ_0176,доп работы,,,,,,,,,,,,,,,,"46 600,00",Manager 01
PRJ_0173,первая часть оплаты,,,"18 000,00","15 500,00","25 350,00","24 600,00","6 200,00","17 600,00","12 200,00","14 600,00","18 200,00","14 900,00","20 900,00","16 700,00","15 750,00","22 000,00",Manager 01
PRJ_0172,,,,"17 800,00","21 050,00","10 650,00","18 800,00","13 450,00","5 300,00","13 000,00","13 600,00","9 000,00","16 650,00","16 950,00","14 700,00","3 350,00","6 550,00",Manager 01
PRJ_0175,,,,"20 300,00","31 200,00","14 000,00","5 150,00","7 900,00","7 450,00","22 650,00","12 650,00","11 750,00","22 050,00","18 750,00","19 050,00","9 200,00","10 500,00",Manager 01
PRJ_0162,первая часть оплаты,,,"43 015,50","42 178,50","47 760,00","46 865,00","47 760,00","46 865,00","47 760,00","46 865,00","46 865,00","46 865,00","46 865,00","46 865,00","44 900,00","44 200,00",Manager 06
PRJ_0162,вторая часть оплаты,,,"12 343,50","13 293,00","36 925,00","25 320,00","34 815,00","27 430,00","15 825,00","10 550,00","26 375,00","29 540,00","29 540,00","31 650,00","39 800,00","43 700,00",Manager 06
PRJ_0170,первая часть оплаты,,,,"28 377,50","25 377,50","25 377,50","25 377,50","25 377,50","25 377,50","27 100,00","28 050,00","28 050,00","32 200,00","33 400,00","33 400,00","33 400,00",Manager 07
PRJ_0170,вторая часть оплаты,,,,"28 377,50","25 377,50","25 377,50","25 377,50","25 377,50","25 377,50","27 100,00","28 050,00","28 050,00","32 200,00","33 400,00","33 400,00","33 400,00",Manager 07
PRJ_0270,первая часть оплаты,,,,,,,,,"220 027,20","229 268,60","229 121,40","175 025,40","172 748,40","172 467,80",,,Manager 06
PRJ_0270,вторая часть оплаты,,,,,,,,,в ноль,"2 535,10","2 538,30",в ноль,"2 228,00","3 210,20",,,Manager 06
PRJ_0272,первая часть оплаты,,,,,,,,,"74 300,00","62 900,00","38 700,00","47 900,00","52 600,00","54 700,00",,,Manager 06
PRJ_0273,первая часть оплаты,,,,,,,,,"46 500,00","77 500,00","77 500,00","113 500,00","77 500,00","77 500,00",,,Manager 06
PRJ_0273,вторая часть оплаты,,,,,,,,,в ноль,в ноль,"104 404,98",в ноль,"5 595,00",в ноль,,,Manager 06
PRJ_0312,,,,,,,,,,,,,"145 195,00","140 495,00","140 495,00",,,Manager 07
PRJ_0307,первая часть оплаты,,,,,,,,,,,,"211 131,00","219 636,00","230 067,00",,,Manager 08
PRJ_0307,вторая часть оплаты,,,,,,,,,,,,"20 671,84","24 458,97","24 869,21",,,Manager 08
PRJ_0023,,"149 080,00","149 100,00","177 595,00","171 260,00","150 220,00","148 220,00","152 695,00","152 695,00","152 695,00","152 970,00","148 815,00","146 475,00","143 580,00","137 745,00","104 025,00","123 810,00",Manager 01
PRJ_0025,,"53 400,00","48 400,00",,"49 350,00","54 625,00","55 470,00","53 780,00","43 230,00","43 230,00","43 230,00","44 075,00","55 470,00","26 540,00","26 540,00",,,Manager 03
PRJ_0118,,"58 060,00","46 135,00",,"36 590,00","38 000,00","36 010,00","41 225,00","37 690,00","42 755,00","43 045,00","38 000,00","16 300,00","15 350,00","16 300,00",,,Manager 03
PRJ_0167,,,,"72 325,00","63 325,00","62 735,00","62 125,00","63 180,00","63 180,00","84 405,00","80 405,00","80 405,00","80 405,00","80 405,00","80 405,00","80 405,00","54 542,50",Manager 07
PRJ_0133,основные работы,,,,,,,"221 405,00","216 145,00","216 145,00","216 145,00","223 145,00","223 145,00","223 990,00","224 885,00","226 050,00","226 050,00",Manager 06
PRJ_0133,доп работы,,,,,,,"3 965,00","915,00","1 830,00","12 200,00",в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,Manager 06
PRJ_0177,первая часть оплаты,,,"75 570,00","41 685,00","41 380,00","41 330,00","41 380,00","41 330,00","41 330,00","41 330,00","41 330,00","41 380,00","41 330,00","41 380,00","40 000,00","41 500,00",Manager 06
PRJ_0177,вторая часть оплаты,,,"1 525,00","7 050,00","4 000,00","4 000,00","4 000,00","4 000,00","4 000,00","4 000,00","4 000,00","4 000,00","4 000,00","4 000,00",,"1 110,00",Manager 06
PRJ_0193,основные работы,,,,,"800 000,00","800 000,00","800 000,00","800 000,00","800 000,00","800 000,00","800 000,00","800 000,00","800 000,00","800 000,00","729 833,33","729 833,33",Manager 01
PRJ_0193,доп работы,,,,,"63 600,00",,,,,,,,,,,,Manager 01
PRJ_0104,основные работы,,,,,,,,,"139 860,00","139 860,00","139 860,00","139 860,00","139 860,00","139 860,00","136 300,00","136 300,00",Manager 03
PRJ_0104,доп работы,"135 995,00","135 995,00","131 425,00","140 565,00","146 845,00","146 845,00","146 845,00","135 985,00","10 065,00","11 285,00","10 675,00","10 675,00","10 675,00","10 675,00","14 000,00","14 000,00",Manager 03
PRJ_0112,первая часть оплаты,"25 745,00","26 167,50","33 127,50",,,,,,,,,,,,,,Manager 03
