id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
PRJ_0067,первая часть оплаты,"36 950,00","36 950,00","36 950,00",,"55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00",Manager 07
PRJ_0067,вторая часть оплаты,"10 200,00","11 900,00","11 050,00",,,,,,,,,,,,,,Manager 07
PRJ_0134,первая часть оплаты,"89 020,00","95 035,00","100 355,00",,,,,,,,,,,,,,Manager 06
PRJ_0134,вторая часть оплаты,"17 351,00","26 034,00","27 422,00",,,,,,,,,,,,,,Manager 06
PRJ_0110,первая часть оплаты,"18 000,00","18 000,00",,,,,,,,,,,,,,,Manager 06
PRJ_0110,вторая часть оплаты,"16 880,00","21 100,00","30 400,00",,,,,,,,,,,,,,Manager 06
PRJ_0161,первая часть оплаты,,"21 000,00","21 000,00",,,,,,,,,,,,,,Manager 06
PRJ_0161,вторая часть оплаты,,"10 500,00","14 700,00",,,,,,,,,,,,,,Manager 06
PRJ_0071,первая часть оплаты,"59 600,00","59 600,00","59 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","40 100,00",Manager 08
PRJ_0071,вторая часть оплаты,"65 450,00","50 150,00","34 000,00","97 555,00","54 595,00","53 700,00","50 120,00","8 055,00","53 700,00","53 700,00","25 060,00","53 700,00","56 385,00","75 180,00","8 950,00","56 385,00",Manager 08
PRJ_0071,доп работы,"67 485,00","67 485,00","67 485,00",,,,,,,,,,,,,,Manager 08
PRJ_0141,,"99 783,00","99 958,50","99 958,50",,,,,,,,,,,,,,Manager 08
PRJ_0029,первая часть оплаты,"40 745,00","40 745,00",,,,,,,,,,,,,,,Manager 08
PRJ_0029,вторая часть оплаты,"17 325,00","21 480,00",,,,,,,,,,,,,,,Manager 08
PRJ_0147,,,"72 900,00","60 900,00",,,,,,,,,,,,,,Manager 01
PRJ_0074,изменение ЮЛ,"75 310,00","71 060,00","71 060,00","76 500,00",,,,,,,,,,,,,Manager 01
PRJ_0055,,в ноль,"39 245,00","44 320,00","177 635,00",,,,,,,,,,,,,Manager 01
PRJ_0052,,"30 280,00","35 580,00","35 830,00","42 830,00",,,,,,,,,,,,,Manager 08
PRJ_0048,,,,,,,,,,,,,,,,,,Manager 02
PRJ_0082,,"34 225,00",стоп,,,,,,,,,,,,,,,Manager 02
PRJ_0116,первая часть оплаты,"65 820,00","65 820,00","71 735,00","71 735,00",,,,,,,,,,,,,Manager 06
PRJ_0116,вторая часть оплаты,"4 220,00","3 165,00","3 165,00","6 330,00",,,,,,,,,,,,,Manager 06
PRJ_0016,,"43 800,00","43 800,00","43 800,00",стоп,,,,,,,,,,,,,Manager 06
PRJ_0123,,"68 285,00","70 445,00","70 445,00","70 445,00",,,,,,,,,,,,,Manager 01
PRJ_0021,,"127 200,00","127 200,00","127 200,00","127 200,00",,,,,,,,,,,,,Manager 02
PRJ_0156,,,,,,,,,,,,,,,,,,Manager 06
PRJ_0122,первая часть оплаты,,"83 050,00","96 750,00",,,,,,,,,,,,,,Manager 08
PRJ_0122,вторая часть оплаты,,"27 820,00","26 555,00",,,,,,,,,,,,,,Manager 08
PRJ_0122,вторая часть оплаты,,,"2 745,00",,,,,,,,,,,,,,Manager 08
PRJ_0132,первая часть оплаты,"28 000,00","37 000,00","37 000,00",,,,,,,,,,,,,,Manager 08
PRJ_0132,вторая часть оплаты,,"68 805,00","67 835,00",,,,,,,,,,,,,,Manager 08
PRJ_0132,вторая часть оплаты,,,"3 395,00",,,,,,,,,,,,,,Manager 08
PRJ_0166,первая часть оплаты,,,,,,,"153 212,50",,,,,,,,,,Manager 03
PRJ_0166,вторая часть оплаты,,,,,,,"153 212,50",,,,,,,,,,Manager 03
